energia,proteína,lípidos,cálcio,ferro,alimento
900,0,100,.1,.05,Azeite
770,0,85,13,.2,Manteiga
85,19,1,25,.9,Pescada
208,18,15,12,1.5,Vaca
158,20,8.5,18,1.8,Frango
57,3,3,126,.1,Leite
59,3.2,3.2,125,.2,Iogurte
316,26,23.2,800,.8,Q.Flamengo
392,26,32,800,1.2,Q.Serra
350,7.5,.5,10,.5,Arroz
258,7,.6,24,1.6,Pão
290,20,1.2,170,6.5,Feijão
400,0,0,15,1,Açucar
365,10,.5,20,1,Massas
22,1.8,.2,70,1.5,Alface
22,.9,.2,31,.5,Cebola
22,2.6,.9,104,3.6,Espinafres
22,.6,0,104,3.6,Cenoura
90,2.5,0,9,.2,Batata
30,2.9,.5,234,1.8,Couve
